LSV name	Delta Deltapsi (HS - Control)
NM_078639:s:16274284-16274501	1.7576452458511103;-1.7545840832133375
NM_001298388:s:16274284-16274501	1.7576452458511103;-1.7545840832133375
NM_167488:s:16274284-16274501	1.7576452458511103;-1.7545840832133375
NM_163892:s:21375060-21375912	1.541303920998846;-1.5413038343123833
NM_206050:t:7473722-7473843	0.012478944718769952;0.9214702292431816;0.18347529459699524;0.002229772262383069;-1.1606096423867935
NM_001273843:t:7473722-7473843	0.012478944718769952;0.9214702292431816;0.18347529459699524;0.002229772262383069;-1.1606096423867935
NM_001273846:t:7473722-7473843	0.012478944718769952;0.9214702292431816;0.18347529459699524;0.002229772262383069;-1.1606096423867935
NM_165531:t:7473722-7473843	0.7429094887081364;0.024736558532838945;0.22370795188322656;0.00883972440747093;-1.0172956283241672
NM_165528:t:7473722-7473843	0.7429094887081364;0.024736558532838945;0.22370795188322656;0.00883972440747093;-1.0172956283241672
NM_136441:t:7473722-7473843	0.7429094887081364;0.024736558532838945;0.22370795188322656;0.00883972440747093;-1.0172956283241672
NM_165532:t:7473722-7473843	0.7429094887081364;0.024736558532838945;0.22370795188322656;0.00883972440747093;-1.0172956283241672
NM_001169971:s:14622796-14623033	0.3379519074841483;0.2968961712870249;-1.0033589661727849;-0.008057338010784626;3.7708859456178154e-05;0.4178279110617114;-0.06245206757703335
NM_001274341:s:1635186-1635237	0.10942575908516312;0.011331055975141724;0.009811385644724835;-0.9743062979307336;0.743969839570452
NM_170638:s:17401561-17401842	-0.00047389738398802213;-0.9705806117220516;0.9734744232472012
NM_057430:s:10408352-10408386	0.9292139718454105;-0.9292139481453603
NM_079161:t:1625075-1625678	0.8777180927222263;0.003147857761488193;0.0016756654692871888;-0.9163104097401574
NM_136264:s:21380133-21380365	0.00010052848621867938;8.41321042704075e-05;0.17390123120258416;9.843028437900875e-09;1.4996126995565813e-06;0.023015833406823914;0.00028998368598128133;0.003091724950852248;0.4018733839386637;0.3326818737918232;0.05213953252126944;0.06951163747607393;-0.3792895614107081;-0.8752742077647426
NM_167951:t:2490980-2492613	-0.8539064671716727;0.8545201981138647
NM_001169740:s:19462880-19463419	0.010877892635729882;0.0028590752760138368;0.6585357527600866;0.0783135258242352;5.565091444536527e-07;1.5967780353111124e-06;4.755952351487007e-07;3.543459358265542e-05;0.00029482536684355436;-9.645082584232627e-07;4.59273930977279e-07;-9.483478527866786e-05;-0.8276949126026601
NM_170263:s:26259802-26259835	-0.818755639243829;0.8187556342843683
